customer_id,first_name,last_name,email,membership_date,gender,salary,,job_title,City,Membership_cost,Price_bracket
c001,Vasilis,Di Dello,vdidello0@cdbaby.com,04/02/2018,M,"£62,267.15",,Information Systems Manager,Hamburg,7.99,Standard
c002,Clementia,Margram,cmargram1@google.co.jp,17/08/2014,F,"£53,805.91",,Environmental Specialist,Toronto,3.99,Basic
c003,Dewitt,Murra,dmurra2@360.cn,28/04/2017,M,"£67,195.01",,Administrative Assistant II,Tokyo,9.99,Premium
c004,Kalinda,Marguerite,kmarguerite3@symantec.com,21/07/2014,F,"£23,113.30",,Cost Accountant,Rome,3.99,Basic
c005,Pat,Beevers,,24/08/2013,F,"£39,301.71",,,Hamburg,9.99,Premium
c006,Emmalee,Curton,,01/01/2013,F,"£21,393.89",,,Copenhagen,3.99,Basic
c007,Emmaline,Dronsfield,edronsfield6@si.edu,07/07/2013,F,"£61,877.17",,Associate Professor,Paris,7.99,Standard
c008,Buffy,Grunwald,bgrunwald7@wunderground.com,01/08/2017,F,"£56,045.60",,Human Resources Manager,Amsterdam,3.99,Basic
c009,Cecilius,Woolatt,cwoolatt8@ocn.ne.jp,08/01/2012,M,"£74,446.19",,Web Developer IV,Madrid,9.99,Premium
c009,Cecilius,Woolatt,cwoolatt8@ocn.ne.jp,08/01/2012,M,"£74,446.19",,Web Developer IV,Madrid,9.99,Premium
c010,Eli,Ervine,eervine9@dedecms.com,10/09/2011,M,"£49,517.41",,Associate Professor,Sydney,9.99,Premium
c011,Kathe,Mulderrig,kmulderriga@w3.org,20/01/2022,F,"£44,329.64",,Actuary,Madrid,7.99,Standard
c012,Nilson,Overpool,noverpoolb@nationalgeographic.com,24/02/2022,M,"£46,785.69",,Payment Adjustment Coordinator,Los Angeles,7.99,Standard
c013,Helyn,Lindell,hlindellc@cam.ac.uk,04/01/2017,F,"£59,344.68",,Senior Editor,Chicago,9.99,Premium
c014,Fran,Zwicker,fzwickerd@ebay.com,05/12/2015,M,"£45,066.56",,VP Product Management,Sydney,3.99,Basic
c015,Julio,Ayre,jayree@biblegateway.com,31/12/2020,M,"£60,223.76",,Editor,Delhi,3.99,Basic
c016,Alix,Alekseicik,aalekseicikf@ustream.tv,08/05/2017,F,"£53,305.76",,Paralegal,Tokyo,9.99,Premium
,,,,,,,,,,,
c017,Hadlee,Shalcros,,08/11/2021,M,"£74,398.17",,,Toronto,9.99,Premium
c018,Fernando,Tabourel,ftabourelh@mediafire.com,12/11/2019,M,"£38,158.71",,Financial Analyst,Sydney,9.99,Premium
c019,Mendel,Gloy,mgloyi@cam.ac.uk,09/06/2017,M,"£65,877.00",,Registered Nurse,New York,3.99,Basic
c020,Thain,Myatt,tmyattj@studiopress.com,09/07/2013,M,"£62,234.75",,Assistant Professor,Tokyo,3.99,Basic
c021,Moises,Steel,msteelk@washington.edu,19/04/2017,M,"£24,932.57",,Help Desk Operator,Madrid,9.99,Premium
c022,Bancroft,Huccaby,bhuccabyl@senate.gov,07/08/2015,M,"£57,276.32",,Senior Editor,Hamburg,7.99,Standard
c023,Iormina,Martello,imartellom@squarespace.com,05/02/2018,F,"£40,867.83",,Senior Developer,New York,9.99,Premium
c024,Tatum,Longstreeth,tlongstreethn@rambler.ru,25/10/2015,F,"£68,933.79",,VP Product Management,Tokyo,7.99,Standard
c025,Wat,Zmitrovich,wzmitrovicho@cocolog-nifty.com,30/07/2013,M,"£39,362.42",,VP Quality Control,Paris,3.99,Basic
c026,Miguel,McCandie,mmccandiep@phpbb.com,22/09/2018,M,"£68,911.70",,Chief Design Engineer,Montreal,3.99,Basic
c027,Bell,Sange,bsangeq@dell.com,29/08/2013,F,"£35,406.56",,Cost Accountant,Sydney,7.99,Standard
c028,Perice,Demange,pdemanger@wikia.com,25/07/2013,M,"£49,760.35",,Assistant Media Planner,Hamburg,7.99,Standard
c029,Monro,Harm,,12/09/2019,M,"£31,681.32",,,Montreal,3.99,Basic
c030,Gordon,Conant,gconantt@webeden.co.uk,04/10/2014,M,"£44,727.93",,Account Representative IV,Rome,3.99,Basic
c031,Murry,Calderon,mcalderonu@businesswire.com,08/01/2018,M,"£43,030.00",,Account Coordinator,Copenhagen,9.99,Premium
c032,Lynnette,Rickardes,lrickardesv@drupal.org,18/12/2010,F,"£32,116.82",,Dental Hygienist,Geneva,7.99,Standard
c033,Con,Toulson,,31/05/2011,M,"£22,832.84",,,Rome,3.99,Basic
c034,Falkner,O'Flaverty,,02/09/2020,M,"£47,253.33",,,Montreal,7.99,Standard
c035,Carleton,Kumaar,,21/10/2020,M,"£45,682.79",,,Los Angeles,3.99,Basic
c036,Regina,Silversmid,rsilversmidz@nyu.edu,20/04/2012,F,"£47,141.28",,Recruiter,Rome,7.99,Standard
c037,Becky,McTeague,bmcteague10@ed.gov,30/03/2021,F,"£34,707.87",,Editor,Chicago,9.99,Premium
c038,Brenna,Bessett,bbessett11@imgur.com,07/09/2020,F,"£44,083.13",,Junior Executive,Edinburgh,3.99,Basic
c039,Graig,Rolin,grolin12@feedburner.com,25/10/2021,M,"£61,156.73",,Help Desk Technician,Lisbon,7.99,Standard
c040,Edita,Antoniazzi,eantoniazzi13@sina.com.cn,14/10/2013,F,"£49,484.59",,Information Systems Manager,Tokyo,3.99,Basic
c041,Jase,Garvagh,jgarvagh14@europa.eu,28/09/2020,M,"£31,984.43",,Senior Quality Engineer,Edinburgh,7.99,Standard
c042,Niles,Dobrowolny,ndobrowolny15@cam.ac.uk,25/03/2021,M,"£49,390.86",,Design Engineer,Berlin,3.99,Basic
c043,Gonzalo,Disman,gdisman16@marriott.com,15/02/2012,M,"£70,197.62",,Structural Analysis Engineer,Los Angeles,9.99,Premium
c044,Melisandra,Diviny,mdiviny17@rediff.com,03/12/2014,F,"£52,942.43",,Data Coordiator,New York,9.99,Premium
c044,Melisandra,Diviny,mdiviny17@rediff.com,03/12/2014,F,"£52,942.43",,Data Coordiator,New York,9.99,Premium
,,,,,,,,Data Coordiator,New York,9.99,Premium
c044,Melisandra,Diviny,mdiviny17@rediff.com,03/12/2014,F,"£52,942.43",,,,,
c045,Eolanda,Surguine,esurguine18@virginia.edu,04/09/2022,F,"£56,061.84",,Marketing Manager,Sydney,9.99,Premium
c046,Helen-elizabeth,Gaskin,hgaskin19@devhub.com,07/09/2015,F,"£24,761.51",,Nurse,Rome,7.99,Standard
c047,Lissy,McMackin,lmcmackin1a@utexas.edu,02/04/2019,F,"£25,394.14",,Information Systems Manager,London,9.99,Premium
c048,Wakefield,Dellatorre,wdellatorre1b@sina.com.cn,09/03/2022,M,"£51,923.88",,Registered Nurse,Edinburgh,7.99,Standard
c049,Thor,Ferriere,,07/07/2013,M,"£46,028.89",,,Delhi,3.99,Basic
c050,Renado,Henrys,rhenrys1d@sciencedaily.com,16/06/2019,M,"£38,960.21",,Assistant Manager,Melbourne,7.99,Standard
c051,Faber,Coste,,31/10/2020,M,"£62,364.12",,,Copenhagen,9.99,Premium
c052,Wallas,Dever,wdever1f@wikispaces.com,22/05/2022,M,"£20,507.72",,Accounting Assistant I,New York,9.99,Premium
c053,Daryle,Deluce,ddeluce1g@facebook.com,07/04/2015,M,"£44,302.39",,Speech Pathologist,Toronto,9.99,Premium
c054,Violetta,Pheasey,vpheasey1h@ezinearticles.com,01/03/2013,F,"£54,424.15",,Information Systems Manager,Toronto,9.99,Premium
c055,Courtnay,Stiegar,cstiegar1i@youtube.com,08/12/2014,F,"£72,303.76",,Financial Analyst,Hamburg,9.99,Premium
c056,Berne,Nial,bnial1j@yale.edu,23/10/2012,M,"£50,962.81",,Librarian,Delhi,9.99,Premium
